meanOpts,sdOpts,rmse,coverage,mape
3,5,0.14450378424927282,0.8916666666666667,0.09831095292278885
3,5.5,0.14500357097657077,0.8916666666666667,0.09953193551945169
3,6,0.14525536774351303,0.8916666666666667,0.10069373078328497
3,6.5,0.1381438869492023,0.8677685950413223,0.1015746635689766
3,7,0.13816866463818647,0.859504132231405,0.10241872429140768
3,7.5,0.13815021923069754,0.859504132231405,0.10316610849571733
3,8,0.13804474924496968,0.8512396694214877,0.10380980452114978
3,8.5,0.13797604114384515,0.8512396694214877,0.10439895140845651
3,9,0.13785745692851653,0.8512396694214877,0.10487374343714868
3,9.5,0.1376745219277684,0.8429752066115702,0.10530379297483557
3,10,0.1375395237272949,0.8429752066115702,0.10566761014901778
3.5,0.5,0.11238971391669228,0.9576271186440678,0.0744941133146019
3.5,1,0.11610548022516991,0.9576271186440678,0.07555176212619187
3.5,1.5,0.12139734350716393,0.9491525423728814,0.07727920487757806
3.5,2,0.12675668061534487,0.940677966101695,0.07931522735285254
3.5,2.5,0.13146213614926722,0.940677966101695,0.08164690925334497
3.5,3,0.13509796593554305,0.9322033898305084,0.08372371743361355
3.5,3.5,0.1409894702939253,0.9159663865546218,0.08886411242247433
3.5,4,0.14335183100243398,0.907563025210084,0.09099303701654947
3.5,4.5,0.14499988334765893,0.8991596638655462,0.09279738090912061
3.5,5,0.1460890135842621,0.8991596638655462,0.09425646605432747
3.5,5.5,0.1447417617830138,0.8916666666666667,0.09764009129035964
3.5,6,0.14532783048294134,0.8916666666666667,0.09886321044649533
3.5,6.5,0.1457088734706855,0.8916666666666667,0.10012306605841959
3.5,7,0.14586365390446965,0.8916666666666667,0.10117423568094067
3.5,7.5,0.13907906275544474,0.8677685950413223,0.10213436671215222
3.5,8,0.13918449063283697,0.8677685950413223,0.10296083101493356
3.5,8.5,0.1392037174836165,0.859504132231405,0.10369536682383144
3.5,9,0.13914199863209747,0.859504132231405,0.10436199913499715
3.5,9.5,0.13904265642736252,0.859504132231405,0.10492661114266656
3.5,10,0.13894511268837234,0.8512396694214877,0.10548364373182648
4,0.5,0.10522959529948409,0.9658119658119658,0.06972596619766148
4,1,0.10804061175901268,0.9658119658119658,0.07056833879692828
4,1.5,0.11200262862773931,0.9572649572649573,0.07190306626410851
4,2,0.11640327969958777,0.9572649572649573,0.07357432791773497
4,2.5,0.12686775822956023,0.940677966101695,0.078582475463668075
4,3,0.13123045034496583,0.940677966101695,0.08101506173276479
4,3.5,0.13464770864928924,0.9322033898305084,0.0831135877279577
4,4,0.13720896607148197,0.9322033898305084,0.0849727523292352
4,4.5,0.14318753221513383,0.907563025210084,0.09057008312207997
4,5,0.14475347466287652,0.8991596638655462,0.0922352570955902
4,5.5,0.14583814842692394,0.8907563025210085,0.09357673438801824
4,6,0.1465638665092828,0.8907563025210085,0.0948287062774849
4,6.5,0.14554380800449163,0.8916666666666667,0.09829700197385398
4,7,0.14598782802946994,0.8833333333333333,0.09957008170060015
4,7.5,0.1462633334265986,0.875,0.1006590399734981
4,8,0.14640965753470317,0.875,0.10168258747098995
4,8.5,0.14648913031727845,0.8833333333333333,0.10260870182271596
4,9,0.1503001782354214,0.859504132231405,0.10906140781746292
4,9.5,0.14982227302586676,0.859504132231405,0.10977387041141985
4,10,0.14920753024160704,0.859504132231405,0.11039301939252087
4.5,0.5,0.09888305523604644,0.9743589743589743,0.0661636530224055
4.5,1,0.10169233093500087,0.9743589743589743,0.06700726101334596
4.5,1.5,0.10609676409772303,0.9658119658119658,0.06850645321187608
4.5,2,0.11110570808800846,0.9572649572649573,0.07052849966678945
4.5,2.5,0.11582316861363945,0.9572649572649573,0.07281282127797495
4.5,3,0.11989448745913815,0.9572649572649573,0.07492470281519063
4.5,3.5,0.12308932917598162,0.9487179487179487,0.07680650243714744
4.5,4,0.13438084920843063,0.9322033898305084,0.08261934301090841
4.5,4.5,0.13671703608083852,0.9322033898305084,0.08448245645400021
4.5,5,0.1384807989171766,0.923728813559322,0.08615897475961944
4.5,5.5,0.13967443905217505,0.9152542372881356,0.08751410884596524
4.5,6,0.14561848019325216,0.8907563025210085,0.09296760358349042
4.5,6.5,0.14640317359561653,0.8907563025210085,0.09431821843523869
4.5,7,0.1469121560197624,0.8907563025210085,0.09558290415776698
4.5,7.5,0.16083891685499713,0.8666666666666667,0.10760964602434564
4.5,8,0.16085928148276307,0.8666666666666667,0.10824258123176159
4.5,8.5,0.14675394508516634,0.875,0.10123745512480506
4.5,9,0.14689049736913598,0.875,0.10216571105474545
4.5,9.5,0.14701333156398017,0.8666666666666667,0.1031494531365235
4.5,10,0.15218745755804092,0.8512396694214877,0.11054524516695828
5,0.5,0.09183249295616759,0.9827586206896551,0.06211127645369396
5,1,0.09354285903533899,0.9827586206896551,0.06278858202268024
5,1.5,0.09637528056246773,0.9827586206896551,0.06393731688387025
5,2,0.09992222214060362,0.9741379310344828,0.06547521141589234
5,2.5,0.10359816256337032,0.9741379310344828,0.06742741721499264
5,3,0.11599229846146059,0.9572649572649573,0.0727409480613212
5,3.5,0.11975237055467128,0.9572649572649573,0.07476209856737648
5,4,0.12272826921129777,0.9487179487179487,0.07634528961992873
5,4.5,0.12503835065283458,0.9316239316239316,0.07794548745457552
5,5,0.13651845276209432,0.9322033898305084,0.08421129521000677
5,5.5,0.13811822209454072,0.923728813559322,0.08570214134189666
5,6,0.13925251489829676,0.9152542372881356,0.0869999867577409
5,6.5,0.14008782452089355,0.9152542372881356,0.08842070291523034
5,7,0.14622991195529256,0.8907563025210085,0.09380503740169707
5,7.5,0.1467874732155122,0.8907563025210085,0.0951048323379964
5,8,0.14717880918468043,0.8823529411764706,0.09629190072669755
5,8.5,0.14745300455124596,0.8823529411764706,0.09735031103629435
5,9,0.16210032222456605,0.8583333333333333,0.10929288752220256
5,9.5,0.16193535104147594,0.8583333333333333,0.1099691403256899
5,10,0.16156775502643703,0.8583333333333333,0.11090198467633944
5.5,0.5,0.08688083721271171,0.9827586206896551,0.05960858913831726
5.5,1,0.08875880042490578,0.9827586206896551,0.060361406801811686
5.5,1.5,0.09191008758144857,0.9827586206896551,0.061611813917158115
5.5,2,0.09579128248978892,0.9827586206896551,0.06352453112016025
5.5,2.5,0.09987078964791589,0.9827586206896551,0.06566773524897754
5.5,3,0.10368487513610772,0.9741379310344828,0.06778067595482158
