meanOpts,sdOpts,rmse_cc,coverage_cc,mape_cc,rmse_h,coverage_h,mape_h
1.5,2.5,0.1704558749529973,0.5227272727272727,0.11130778084918085,NA,NA,NA
1.5,3,0.1731998556590049,0.5378787878787878,0.11273333485536831,NA,NA,NA
1.5,3.5,0.17515940962393886,0.5454545454545454,0.11377195798497444,NA,NA,NA
1.5,4,0.1765873663978931,0.5454545454545454,0.11453662571397355,NA,NA,NA
1.5,4.5,0.17763535449148476,0.5378787878787878,0.11512631140763482,NA,NA,NA
1.5,5,0.17837424058393953,0.5378787878787878,0.11554572664374625,NA,NA,NA
1.5,5.5,0.1789179464871415,0.5378787878787878,0.11585077204648747,NA,NA,NA
1.5,6,0.17935832454937703,0.5378787878787878,0.11610115748083548,NA,NA,NA
1.5,6.5,0.17968465621185714,0.5378787878787878,0.11628128436079727,NA,NA,NA
1.5,7,0.1799324511794599,0.5378787878787878,0.11642810440515627,NA,NA,NA
1.5,7.5,0.18013402122826566,0.5454545454545454,0.1165408955978296,NA,NA,NA
1.5,8,0.18029143115593108,0.5454545454545454,0.11665404388784521,NA,NA,NA
1.5,8.5,0.1804337996824471,0.5454545454545454,0.1167498316441229,NA,NA,NA
1.5,9,0.1805418860857515,0.5454545454545454,0.11683165642836557,NA,NA,NA
1.5,9.5,0.18063906179252484,0.5378787878787878,0.11690546633955204,NA,NA,NA
1.5,10,0.18071133086279167,0.5378787878787878,0.11695934151656721,NA,NA,NA
2,0.5,0.14685834153337793,0.5307692307692308,0.09925406611490505,NA,NA,NA
2,1,0.14879639018025712,0.5461538461538461,0.10039599408609463,NA,NA,NA
2,1.5,0.1518655328758106,0.5384615384615384,0.10224922506669969,NA,NA,NA
2,2,0.15733697101008792,0.5343511450381679,0.10462793756605816,NA,NA,NA
2,2.5,0.16159409702488323,0.5419847328244275,0.10695578250320613,NA,NA,NA
2,3,0.1650921307042087,0.5419847328244275,0.1087863250056288,NA,NA,NA
2,3.5,0.16790008747579227,0.5419847328244275,0.11021221453307434,NA,NA,NA
2,4,0.17256277088134123,0.5454545454545454,0.11201741766379583,NA,NA,NA
2,4.5,0.17435952794438694,0.5454545454545454,0.11301727372102909,NA,NA,NA
2,5,0.17571346350946412,0.5454545454545454,0.11379322572078857,NA,NA,NA
2,5.5,0.17674725246149062,0.5454545454545454,0.11439791220667363,NA,NA,NA
2,6,0.17752398943551417,0.5454545454545454,0.1148622482800145,NA,NA,NA
2,6.5,0.17815091407691758,0.5454545454545454,0.1152334398119344,NA,NA,NA
2,7,0.17863728374037635,0.5378787878787878,0.11553339415745349,NA,NA,NA
2,7.5,0.17904237637815357,0.5378787878787878,0.11577892739659572,NA,NA,NA
2,8,0.1793550268629453,0.5378787878787878,0.11597573530059,NA,NA,NA
2,8.5,0.17961229298947337,0.5378787878787878,0.11613236796882496,NA,NA,NA
2,9,0.17982647990176973,0.5378787878787878,0.1162713108495216,NA,NA,NA
2,9.5,0.1800035339605694,0.5378787878787878,0.11638143130849482,NA,NA,NA
2,10,0.18013911505983485,0.5378787878787878,0.1164705588085826,NA,NA,NA
2.5,0.5,0.137900642046612,0.5384615384615384,0.09426402078119926,NA,NA,NA
2.5,1,0.13986477353907012,0.5461538461538461,0.09533901375503041,NA,NA,NA
2.5,1.5,0.14291048865723527,0.5615384615384615,0.09704111473451263,NA,NA,NA
2.5,2,0.14682404432073679,0.5538461538461539,0.09925976768848022,NA,NA,NA
2.5,2.5,0.15085577132423234,0.5538461538461539,0.10153153467591601,NA,NA,NA
2.5,3,0.15779516590485512,0.549618320610687,0.10445989544172248,NA,NA,NA
2.5,3.5,0.16156570617209312,0.549618320610687,0.10651299147352657,NA,NA,NA
2.5,4,0.16456372753556794,0.549618320610687,0.10810920422943138,NA,NA,NA
2.5,4.5,0.16706731399328656,0.549618320610687,0.10940117465153966,NA,NA,NA
2.5,5,0.17215436363694098,0.5454545454545454,0.11142189363269232,NA,NA,NA
2.5,5.5,0.1737347851162241,0.5454545454545454,0.1123552285664989,NA,NA,NA
2.5,6,0.17502689766348364,0.5454545454545454,0.11314563657770824,NA,NA,NA
2.5,6.5,0.17602995321127932,0.5454545454545454,0.11376627694739683,NA,NA,NA
2.5,7,0.17684376128499152,0.5454545454545454,0.11426672260922922,NA,NA,NA
2.5,7.5,0.17749528261937875,0.5454545454545454,0.11467937080173625,NA,NA,NA
2.5,8,0.17798352349534335,0.5454545454545454,0.11497612327738567,NA,NA,NA
2.5,8.5,0.17845469260518856,0.5454545454545454,0.11527219522327958,NA,NA,NA
2.5,9,0.17879976089765942,0.5378787878787878,0.11550672757922933,NA,NA,NA
